# Fitnes,Na_inact 0,gmax_K_DRS4_params_voltage_dep_dend 1,gmax_Na_BG_soma 2,gmax_K_DRS4_params_voltage_dep_soma 3,gmax_KD_axon 4,gmax_Leak_pyr 5,H_ratio 6,e_Leak_pyr 7,gbar_km_soma_dend 8,KA_ratio 9,gbar_kd 10,pbar_CaN 11,gmax_bk 12,CaL_ratio 13,gmax_K_AHP 14,cat_ratio 15,gk_SK 16,pbar_car 17,Na_act 18,KA_kinetic_shift 19,KA_slope 20
0.000000000000000000e+00,-4.609618053045714703e+01,7.775097860383771084e-03,1.679449953903499881e-01,1.118993751268812370e-01,1.832340755418970096e-02,2.269642309727378848e-06,5.907587147759760793e-01,-4.880236588926400998e+01,1.088933862467787717e-04,2.431324174912363745e+00,5.172129520601723108e-04,6.652478575514464941e-03,8.489938140028668867e-02,4.285605165703842090e+00,3.659542029827601438e-04,1.318975529762650423e+00,2.720127640968989161e-05,6.863908662232525706e-05,-2.600124057672012867e+01,9.608377905817020448e+00,1.021841356256408595e+01
0.000000000000000000e+00,-4.643098921885184893e+01,1.474214789496995290e-02,1.831643342475959280e-01,5.906600039561920451e-02,1.303025874826793315e-02,3.267258496210630246e-06,5.573870454663593099e-01,-5.012630565351253153e+01,1.147232870712758279e-04,3.180672373511870710e+00,4.411224509479341684e-04,3.030379246639993297e-03,7.808914228801971946e-02,4.245243317156246476e+00,4.714870148115250337e-04,2.013202836331053458e+00,5.895267277175964216e-05,3.356564795211970144e-05,-2.513216844278952067e+01,9.369648605301090782e+00,8.446839225181548727e+00
0.000000000000000000e+00,-4.772337441637088062e+01,1.140172013401095918e-02,1.786616587257200961e-01,1.105335463619366160e-01,1.819532801443479383e-02,4.133768197516964392e-06,5.582806899906826992e-01,-5.519770644190086273e+01,1.020074548418520088e-04,2.351515797169061450e+00,1.877328584298627000e-04,8.177991377281031843e-03,8.260836312643614343e-02,3.699757352093661744e+00,5.811457032595041591e-04,3.693107506877990165e+00,5.126627482449500273e-05,1.153175615262346499e-05,-2.580099593321027029e+01,9.724705579722128235e+00,9.756717519433426133e+00
0.000000000000000000e+00,-4.342167238220147851e+01,1.664697154831969519e-02,1.459187742805734822e-01,6.463425378544701561e-02,1.875919428020741964e-02,2.054255298301457983e-06,5.601124207111278785e-01,-3.358626738779200593e+01,1.063284631965936321e-04,4.318511143864034452e+00,1.010998329956146674e-04,5.522530454558955901e-03,7.879349712156348551e-02,3.649794997398970064e+00,6.147823453281284212e-04,2.460146131889926036e+00,6.195044945251061100e-05,4.143856990551318800e-05,-2.659034157789421116e+01,2.199002719345481438e+01,1.310973678776311147e+01
0.000000000000000000e+00,-4.736412077672515863e+01,1.845684128512602856e-02,1.781446480920477471e-01,9.801973465776564476e-02,1.749176516711614324e-02,2.856464131703347466e-06,5.638244000844897519e-01,-4.486941055893655061e+01,1.018661685826408519e-04,2.961670598048578462e+00,1.737550299914640030e-04,3.864196021631149426e-03,8.623571231736615328e-02,4.083658810896311664e+00,5.914058091424998897e-04,2.418674229827584288e+00,8.124438215308015985e-05,1.303082386286511475e-05,-2.570341504115122078e+01,1.276790937990179842e+01,1.004426956604327970e+01
0.000000000000000000e+00,-4.342627531406197505e+01,1.389212913465206686e-02,1.464652506328167070e-01,6.473748838484859325e-02,1.830622166781660509e-02,2.609645115488769178e-06,5.587103824982715405e-01,-4.099407236322716130e+01,1.059101219531986593e-04,4.844384014739762101e+00,1.451111508338498186e-04,8.071945767144997341e-03,7.878970507774661625e-02,3.891358917720988853e+00,5.209813130648902058e-04,3.869619507762278587e+00,6.526763654516691538e-05,2.943189170890818978e-05,-2.648673071096089870e+01,2.231053431628626882e+01,1.280572142512510325e+01
0.000000000000000000e+00,-4.525263563551992263e+01,1.101131976568343884e-02,1.654204071652354557e-01,9.696664824745947209e-02,1.720082864459911501e-02,4.707402156715843437e-06,5.625747563975312948e-01,-6.039090358552191162e+01,1.072903796942765059e-04,2.534787218557704946e+00,1.749707454470626799e-04,6.380469896373110877e-03,8.537821611193513460e-02,4.576642929336707688e+00,3.370017646388854334e-04,2.430496205649320007e+00,1.177553726012365602e-05,8.175815262011459743e-05,-2.592370534239035607e+01,9.261353753221120755e+00,1.027180909931622921e+01
0.000000000000000000e+00,-4.704232285356017940e+01,1.444870430075323800e-02,1.759691587314086980e-01,9.748669054176126170e-02,1.752498461297037624e-02,3.494757608184197419e-06,5.681850997515841550e-01,-5.186731303825767725e+01,1.004257597766059163e-04,2.841774394631369383e+00,1.403423653353436345e-04,3.817239362762621206e-03,8.691578782966701000e-02,4.352097640325149008e+00,4.892459145636438066e-04,4.031285327033501176e+00,6.680120400962876999e-05,4.006848484284391758e-06,-2.569002193367114018e+01,1.203704995365980857e+01,9.954981527084161286e+00
0.000000000000000000e+00,-4.633461076740028517e+01,7.645056463057165429e-03,1.660511779783046260e-01,1.172880991429992581e-01,1.891000197839872235e-02,3.458183634000246818e-06,5.823047224871882310e-01,-5.497575597616935283e+01,1.091421233645261204e-04,2.425887103337013517e+00,4.784321151919786121e-04,7.317721508362240446e-03,8.530316004083632331e-02,4.300832767935443890e+00,6.083125778196825763e-04,7.521988788902349565e-01,2.341805877809950907e-05,5.199033799174356994e-05,-2.613887435449899499e+01,9.108443778727151496e+00,9.849452842082996540e+00
0.000000000000000000e+00,-4.477986318815861466e+01,1.238406497225736508e-02,1.701027551021644935e-01,2.073200573686553860e-01,2.090060009340788047e-02,3.311955318834300059e-06,5.595059630220126090e-01,-4.932144104834311804e+01,1.096475687923132732e-04,3.902440336394696896e+00,2.406899967913592913e-04,9.182574915443794325e-03,9.208521545202660863e-02,4.657827089091619577e+00,5.077990775711956365e-04,1.825100228579432660e+00,6.482906470567901896e-05,1.169228684607099723e-05,-2.634405288901962194e+01,1.491562730499473055e+01,9.308531296760516938e+00
