# Fitnes,Na_BG_act_inact_shift 0,gmax_K_DRS4_params_voltage_dep_dend 1,gmax_Na_BG_soma 2,gmax_K_DRS4_params_voltage_dep_soma 3,gmax_K_DRS4_params_voltage_dep_axon 4,gmax_Leak_pyr 5,H_ratio 6,e_Leak_pyr 7,gbar_km_soma_dend 8,gbar_km_axon 9,KA_ratio 10,gbar_kd 11,pbar_CaN 12,gmax_bk 13,CaL_ratio 14,gmax_K_AHP 15,cat_ratio 16,cat31_33_ratio 17,gk_SK 18,pbar_car 19
4.111404921712987104e+00,4.199169650423239197e+00,5.240883986876238021e-02,3.480606556161190690e-02,3.068907925391564651e-01,9.850525322197338784e-01,5.756197169285684991e-06,6.496202932909989514e+00,-5.647035705277568240e+01,1.230171329972046373e-05,2.572459283748169089e-03,1.016673458237734140e+00,1.623306674701374772e-03,6.244707730370499706e-03,5.789353010432254226e-02,1.362369168820733556e+00,1.876132290685851665e-04,8.503915523167425716e-01,1.980573128420269446e+00,4.030992744856867543e-04,2.407185572291648098e-04
4.013881765354830655e+00,5.926384580483348152e+00,1.649110276156743118e-02,7.276915938212175083e-02,1.790413062992909365e-01,5.684131761628489210e-01,6.300404035900204788e-06,7.372835297800316212e+00,-5.582770570498404084e+01,1.260447462007015892e-05,4.008983840498721654e-03,1.000133595777719320e+00,5.303405814924161757e-03,1.249614202063409644e-03,8.641238431651633578e-02,1.842203397418800570e+00,1.887485649966934764e-04,1.450135272478904946e+00,1.215293652885743869e+00,4.016385674758923461e-04,2.358133935791679276e-04
4.826207891571604236e+00,6.706170808217770229e+00,7.608366161330529231e-02,2.845341303109086978e-02,1.156048886706487339e-01,8.404190270227436255e-01,2.227656670288742118e-06,7.048300865654937297e+00,-5.754977584122315903e+01,1.043194751806165195e-05,2.186714067295971071e-03,1.011336156090961058e+00,5.445148970622619954e-03,6.326802222891133795e-03,1.000000000000000056e-01,2.509674247715860229e+00,4.381185098229879531e-04,9.062812816220328083e-01,2.511989058401229880e+00,4.248725170330330532e-04,8.811823849853640301e-05
3.862147625654548833e+00,2.372685233564634899e+00,1.513413143163902519e-01,4.697207246583516571e-02,3.499167110747566367e-01,8.926104386697799598e-01,3.305283439304256030e-06,9.062482876811333909e+00,-5.563832749319144000e+01,1.893100993226987287e-05,3.579699301232728854e-03,1.009344135277194576e+00,5.889402129909388980e-03,8.231469044042854372e-03,6.099881909997498242e-02,9.546940221565328732e-01,1.247627566875451717e-05,1.117613801927745953e+00,2.193184361289906015e+00,4.054372898717471308e-04,2.060142567630558275e-04
3.868428314969826864e+00,9.255285689282795047e+00,2.079003699386463844e-01,1.193904464721948222e-01,4.021247508422277073e-01,7.266594784087665460e-01,4.312182897895933944e-06,6.687728564684071841e+00,-5.183758739233337565e+01,2.279441601326751438e-05,7.045032725114324171e-03,1.030728432170827213e+00,4.444503241660445816e-03,5.090428132528376434e-03,7.768051204050628600e-02,1.148303467908439734e-01,3.059272869054293731e-04,1.025708481299018926e+00,2.353891455879200123e+00,4.000000000000000192e-04,3.956151961813505558e-04
3.698430983668361094e+00,1.000000000000000000e+01,1.564149929188274613e-01,7.104913223049186266e-02,5.000000000000000000e-01,5.869207749708933441e-01,4.483054601708237566e-06,9.972579409797020844e+00,-5.470560414180339137e+01,1.361516757438552620e-05,4.651623878103052639e-03,1.032833107733085010e+00,8.162781611216142832e-03,4.328688989511025008e-03,8.261308742466921817e-02,1.140738779608835518e+00,8.691326675364805996e-05,1.395273162708380976e+00,1.609063799811429440e+00,4.042560790707585942e-04,2.496859564395914589e-04
3.853255039150117245e+00,8.462556810210653424e+00,2.275318270926178221e-01,4.951255525088896214e-02,5.000000000000000000e-01,9.437351177522033119e-01,5.154136515053246104e-06,6.765891438246207201e+00,-5.935985223998488891e+01,1.006408464464258176e-05,3.832087151938079386e-03,1.043200128635816570e+00,3.184750369309458963e-03,7.690487564138595404e-03,7.633237677515135322e-02,5.571159252860764521e-01,6.481026399727217446e-04,1.860629388786282146e+00,1.321884065443355905e+00,4.067964494188463891e-04,2.760225805232154441e-04
3.902959099671129639e+00,8.306501470013573751e+00,1.301436023872146741e-01,1.019471891696548810e-01,1.376698066743295978e-01,8.157888994684134865e-01,3.694489410266864792e-06,8.948565426713145143e+00,-5.256929482376356333e+01,1.620796123826318317e-05,6.985169529007890718e-03,1.005560158132582371e+00,4.414678484852051742e-03,7.001761030129584167e-03,8.916270789174891853e-02,6.813566999430655802e-01,4.579930777924946724e-05,1.023565735629845541e+00,2.352382884544462538e+00,4.000921207548538200e-04,2.729925679699215873e-04
3.811556946960135583e+00,7.443983737132508161e+00,2.664598285414692680e-01,5.322961056998760931e-02,2.862796891557902179e-01,9.588978240351049287e-01,3.499143971961938509e-06,8.552128894512289747e+00,-5.206790911217454010e+01,1.363107728654527217e-05,3.697976716782993591e-03,1.016962847604395481e+00,3.112334027777251873e-03,5.607368585706698147e-03,7.024429530834103153e-02,1.103563699603016923e+00,2.234682466766175503e-04,1.452498466012487777e+00,1.342287880567407665e+00,4.149733596273425125e-04,2.160524104896061710e-04
4.806291453346950959e+00,9.579671035428328096e+00,1.442674394960719586e-01,3.929900159313301500e-02,4.147100460615000400e-02,1.217463981747055057e-01,6.097029634044560661e-06,8.825441106998278329e+00,-5.549576127407879511e+01,6.309923370940446325e-05,1.977196772211402970e-03,1.487524002107584842e+00,3.179887427256930087e-03,9.518126484833562204e-03,9.926107835704132965e-02,2.234374646922644425e-01,5.750248696114846443e-04,1.039040373872639034e+00,1.666029986051920986e+00,4.187114960243874676e-04,2.677687495442025722e-04
